DATE,FF
1954-07-01,3.41
1954-08-01,4.39
1954-09-01,5.47
1954-10-01,3.33
1954-11-01,2.96
1954-12-01,6.47
1955-01-01,5.54
1955-02-01,5.16
1955-03-01,6.78
1955-04-01,5.62
1955-05-01,5.58
1955-06-01,8.24
1955-07-01,6.69
1955-08-01,9.64
1955-09-01,8.70
1955-10-01,8.94
1955-11-01,11.69
1955-12-01,9.92
1956-01-01,9.79
1956-02-01,12.48
1956-03-01,9.99
1956-04-01,10.35
1956-05-01,13.75
1956-06-01,10.82
1956-07-01,10.99
1956-08-01,13.60
1956-09-01,11.79
1956-10-01,14.84
1956-11-01,11.54
1956-12-01,11.69
1957-01-01,14.30
1957-02-01,12
1957-03-01,11.86
1957-04-01,11.97
1957-05-01,15
1957-06-01,12
1957-07-01,14.95
1957-08-01,12.86
1957-09-01,13.86
1957-10-01,17.5
1957-11-01,13.25
1957-12-01,11.93
1958-01-01,14.15
1958-02-01,6.98
1958-03-01,4.99
1958-04-01,5.91
1958-05-01,2.72
1958-06-01,3.68
1958-07-01,3.33
1958-08-01,5.83
1958-09-01,6.90
1958-10-01,9.12
1958-11-01,8.78
1958-12-01,12.15
1959-01-01,9.93
1959-02-01,9.72
1959-03-01,10.96
1959-04-01,14.77
1959-05-01,11.43
1959-06-01,13.43
1959-07-01,17.28
1959-08-01,14.0
1959-09-01,18.60
1959-10-01,15.92
1959-11-01,16
1959-12-01,19.96
1960-01-01,15.96
1960-02-01,15.85
1960-03-01,19.28
1960-04-01,15.64
1960-05-01,15.68
1960-06-01,16.78
1960-07-01,12.93
1960-08-01,15.04
1960-09-01,10.28
1960-10-01,9.79
1960-11-01,12.46
1960-12-01,7.50
1961-01-01,6.73
1961-02-01,8.94
1961-03-01,10.54
1961-04-01,6.68
1961-05-01,9.11
1961-06-01,6.97
1961-07-01,4.44
1961-08-01,9.78
1961-09-01,7.47
1961-10-01,9.07
1961-11-01,12.68
1961-12-01,9.08
1962-01-01,11.00
1962-02-01,9.47
1962-03-01,11.42
1962-04-01,11.29
1962-05-01,11.92
1962-06-01,10.67
1962-07-01,10.89
1962-08-01,14.46
1962-09-01,11.64
1962-10-01,14.42
1962-11-01,11.80
1962-12-01,11.65
1963-01-01,14.63
1963-02-01,12
1963-03-01,11.93
1963-04-01,11.62
1963-05-01,14.95
1963-06-01,11.96
1963-07-01,15.07
1963-08-01,13.94
1963-09-01,13.91
1963-10-01,17.48
1963-11-01,13.93
